"DateTime","Alexandrium catenella","Dinophysis acuminata","Dinophysis norvegica","Karenia","Margalefidinium polykrikoides","Pseudo-nitzschia"
"2020-04-16 14:57:09",0,481,0,241,0,0
"2020-04-16 18:57:12",0,508,0,0,0,0
"2020-04-16 22:31:20",248,743,0,248,0,0
"2020-04-17 02:05:04",0,248,0,0,0,0
"2020-04-17 05:38:06",0,250,0,0,0,0
"2020-04-17 09:10:46",245,245,0,0,0,0
"2020-04-17 12:44:47",0,0,0,0,0,0
"2020-04-17 18:13:56",0,258,0,0,0,0
"2020-04-17 21:48:28",0,0,0,254,0,254
"2020-04-19 17:35:43",0,240,0,240,0,0
"2020-04-19 21:09:53",0,0,0,0,0,0
"2020-04-20 00:44:04",0,0,0,266,0,266
"2020-04-20 04:18:36",0,0,0,0,0,0
"2020-04-20 08:18:50",0,0,0,234,0,0
"2020-04-20 11:51:51",240,0,0,240,0,240
"2020-04-20 15:54:53",0,251,0,251,0,0
"2020-04-20 19:29:21",0,0,0,0,0,0
"2020-04-21 13:57:38",0,0,0,769,0,0
"2020-04-21 18:01:30",0,0,0,0,0,0
"2020-04-22 11:08:44",0,0,0,218,0,0
"2020-04-22 14:43:11",0,0,0,0,0,0
"2020-04-22 18:17:48",245,0,0,979,0,0
"2020-04-23 10:50:27",0,0,0,244,0,0
"2020-04-23 14:24:57",0,0,0,251,0,0
"2020-04-24 03:31:27",241,0,0,0,0,0
"2020-04-24 08:10:40",0,242,0,726,0,0
"2020-04-24 12:27:05",246,0,0,492,0,246
"2020-04-25 17:07:26",0,223,0,223,0,1116
"2020-06-10 18:09:33",0,449,0,3144,225,1123
"2020-06-10 21:18:46",0,217,0,1522,0,652
"2020-06-11 00:28:00",0,0,0,1281,0,1068
"2020-06-11 03:37:14",0,0,0,1948,0,216
"2020-06-11 06:46:28",0,0,0,430,0,1504
"2020-06-11 09:55:43",0,428,0,1284,0,642
"2020-06-11 13:31:03",0,217,0,651,0,651
"2020-06-11 20:57:26",238,3810,0,2858,0,3334
"2020-06-12 00:06:41",0,0,0,1122,0,2693
"2020-06-12 03:15:56",0,230,0,1379,0,4136
"2020-06-12 06:25:11",0,0,0,219,219,1969
"2020-06-12 09:34:27",0,220,0,440,0,3079
"2020-06-12 12:43:41",0,214,0,1072,0,857
"2020-06-12 16:19:02",0,666,222,2886,0,1110
"2020-06-15 19:36:16",0,753,0,4016,251,1004
"2020-06-15 22:45:34",1017,254,254,10428,254,763
"2020-06-16 01:54:49",246,246,0,6144,0,2212
"2020-06-16 05:04:04",0,232,0,4184,0,697
"2020-06-16 08:13:19",232,0,0,5559,0,0
"2020-06-16 19:38:46",0,1213,0,5581,243,485
"2020-06-17 23:12:51",0,0,0,0,0,5232
"2020-06-29 20:20:55",0,1397,0,1956,0,1118
"2020-06-29 23:29:58",540,540,0,1890,0,540
"2020-06-30 02:39:00",0,0,0,1943,0,729
"2020-06-30 05:48:02",0,260,0,2343,0,1041
"2020-06-30 08:57:03",0,489,0,734,0,0
"2020-06-30 12:06:05",0,533,0,1333,0,533
"2020-06-30 15:41:05",284,852,0,3123,0,1703
"2020-06-30 18:50:06",0,234,0,938,0,469
"2020-06-30 21:59:07",277,2490,0,3596,0,553
"2020-07-01 01:08:10",0,989,0,1979,0,1484
"2020-07-01 04:17:12",0,1176,0,706,0,235
"2020-07-01 07:26:12",0,470,0,2117,0,470
"2020-07-01 11:01:11",0,1629,0,1357,0,543
"2020-07-01 14:10:13",0,985,0,3201,0,492
"2020-07-01 17:19:13",0,494,0,2471,0,247
"2020-07-01 20:28:14",0,908,0,454,0,227
"2020-07-01 23:37:15",248,248,0,1734,0,248
"2020-07-02 02:46:16",236,236,0,1179,0,471
"2020-07-02 06:21:15",0,235,0,1408,0,0
"2020-07-02 09:30:15",228,2509,0,912,0,0
"2020-07-02 12:39:17",249,498,0,997,0,0
"2020-07-02 15:48:18",966,966,0,2656,0,483
"2020-07-02 18:57:19",519,2074,0,3112,0,0
"2020-07-02 22:06:22",0,1618,0,925,0,24505
"2020-07-03 01:15:26",496,248,0,2728,0,248
"2020-07-03 04:50:25",0,977,0,1954,244,488
"2020-07-03 07:59:24",0,697,0,1859,0,232
"2020-07-03 11:08:26",232,4864,0,927,232,232
"2020-07-03 14:41:04",0,496,0,2726,0,496
"2020-07-03 17:50:05",0,510,0,1275,255,510
"2020-07-03 20:59:05",0,1358,0,2987,0,0
"2020-07-04 00:34:05",0,2652,0,3448,0,0
"2020-07-04 03:43:08",0,3831,0,3284,0,0
"2020-07-04 06:52:10",0,3936,0,3149,0,262
"2020-07-04 10:01:11",0,2539,0,2539,0,0
"2020-07-04 13:10:13",0,832,0,2496,0,277
"2020-07-04 16:19:14",0,3285,0,1916,0,274
"2020-07-04 19:54:13",0,4902,0,5190,0,288
"2020-07-04 23:03:14",0,710,0,1656,0,237
"2020-07-05 02:12:15",0,771,0,3083,0,257
"2020-07-05 05:21:17",0,245,0,2944,0,0
"2020-07-05 08:30:17",0,7513,0,3991,0,235
"2020-07-05 11:39:18",0,5864,0,677,0,0
"2020-07-05 15:14:16",0,261,0,3136,0,523
"2020-07-05 18:23:17",0,1623,0,3786,0,0
"2020-07-05 21:32:18",0,247,0,2224,0,247
"2020-07-06 00:41:18",0,0,0,897,0,0
"2020-07-06 03:50:18",0,233,0,1866,0,0
"2020-07-06 06:59:19",0,472,0,1654,0,0
"2020-07-06 10:08:19",0,231,0,2076,0,231
"2020-07-06 13:43:17",0,238,0,1190,0,238
"2020-07-06 17:15:56",0,9977,0,243,0,730
"2020-07-06 20:48:35",0,1584,0,528,0,0
"2020-07-07 00:44:50",0,0,0,1609,230,0
"2020-07-07 05:04:44",0,249,0,3237,0,0
"2020-07-07 09:03:19",0,957,0,1196,0,0
"2020-07-07 12:35:56",0,444,0,666,0,0
"2020-07-09 11:04:10",0,0,0,531,0,24151
"2020-07-09 14:13:24",0,0,0,0,0,16584
"2020-07-10 19:48:52",0,425,0,0,0,41221
"2020-07-10 22:58:05",0,495,0,0,0,30220
"2020-07-22 13:52:52",0,2991,0,0,0,19937
"2020-08-19 22:32:50",237,0,0,237,712,0
"2020-08-20 02:05:43",665,1772,0,0,886,222
"2020-08-20 05:38:40",0,1115,0,0,1115,223
"2020-08-20 09:11:42",461,1153,0,1153,1614,231
"2020-08-20 12:44:56",214,0,0,0,641,214
"2020-08-20 16:18:02",475,238,0,950,2138,238
"2020-08-20 20:17:07",239,954,0,239,4056,716
"2020-08-20 23:50:09",0,1092,0,0,655,218
"2020-08-21 03:23:31",217,1302,0,434,1302,217
"2020-08-21 06:56:53",655,2400,218,655,1964,0
"2020-08-21 12:59:22",0,0,0,0,0,0
"2020-08-25 19:41:49",0,1802,0,901,450,225
"2020-08-25 22:50:31",0,1298,0,1298,0,1298
"2020-08-26 01:59:12",0,2632,0,718,0,479
"2020-08-26 05:07:54",1194,1671,0,1671,3343,0
"2020-08-26 08:16:35",3739,2805,0,935,13789,935
"2020-08-26 11:25:17",2273,682,0,2046,3864,227
"2020-08-26 14:59:27",2216,985,0,1231,14524,0
"2020-08-26 18:08:10",1664,2377,238,951,13072,951
"2020-08-26 21:16:51",1194,1433,0,1672,5493,955
"2020-08-27 00:25:33",468,1170,0,2105,936,936
"2020-08-27 03:34:13",693,1156,0,924,231,0
"2020-08-27 06:42:55",1371,1371,0,1371,1599,685
"2020-08-27 10:17:02",10674,1456,0,2668,24987,243
"2020-08-27 13:25:44",4931,1174,0,1644,9393,470
"2020-08-27 16:34:27",1765,504,0,1513,13367,252
"2020-08-27 19:43:07",2001,667,222,667,4446,667
"2020-08-27 22:51:48",960,720,0,240,4321,480
"2020-08-28 02:00:30",468,0,0,702,1170,702
"2020-08-28 05:09:11",0,0,0,1140,456,456
"2020-08-28 08:43:20",5746,460,230,1149,14940,0
"2020-08-28 11:52:01",4356,1834,0,1834,10776,459
"2020-08-28 15:00:41",13131,1010,0,3788,37878,505
"2020-08-28 18:09:26",18170,4543,0,7749,129863,267
"2020-08-28 21:18:07",900,900,0,450,8327,450
"2020-08-29 00:26:48",450,450,0,900,2474,0
"2020-08-29 04:00:57",679,453,0,1358,1132,0
"2020-08-29 07:09:37",649,216,0,649,216,0
"2020-08-29 10:18:17",3495,874,0,655,5679,655
"2020-08-29 13:26:58",4084,1815,0,1588,5672,227
"2020-08-29 16:35:40",9464,996,249,2740,34370,0
"2020-08-29 19:44:21",0,0,0,0,2442,444
"2020-08-29 23:18:30",2555,1917,213,639,7879,639
"2020-08-30 02:27:11",0,437,0,655,1746,218
"2020-08-30 05:35:52",0,430,0,645,215,215
"2020-08-30 08:44:33",0,642,0,428,1283,428
"2020-08-30 11:53:14",3674,864,0,432,4971,864
"2020-08-30 15:01:55",1331,222,0,1553,5326,0
"2020-08-30 18:35:44",1107,0,0,885,3320,221
"2020-08-30 21:44:25",439,439,0,878,878,0
"2020-08-31 00:53:05",219,219,0,219,438,438
"2020-08-31 04:01:46",437,219,0,437,1093,0
"2020-08-31 07:10:27",0,0,0,429,429,0
"2020-08-31 10:19:08",218,218,0,871,1306,435
"2020-08-31 13:27:49",222,666,0,1332,2665,666
"2020-08-31 17:01:55",1402,234,0,1869,2102,467
"2020-08-31 21:13:06",0,0,0,0,745,0
"2020-09-01 00:21:48",0,0,0,0,0,0
